task_id,level,correct_ep_0,correct_ep_1,correct_ep_2,correct_ep_3,correct_ep_4,correct_ep_5,correct_ep_6,correct_ep_7,correct_ep_8,correct_ep_10,correct_ep_12,correct_ep_14,correct_ep_16
e1baa8a4,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
833dafe3,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
4cd1b7b2,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
7d1f7ee8,easy,False,False,False,True,False,True,False,False,False,True,False,False,True
af24b4cc,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
963f59bc,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
d37a1ef5,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
358ba94e,easy,False,True,True,True,True,True,True,True,False,True,True,True,True
c3202e5a,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
2753e76c,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
f3cdc58f,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
55059096,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
845d6e51,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
3b4c2228,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
c7d4e6ad,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
e7dd8335,easy,True,True,True,True,True,False,True,False,True,True,True,True,True
94be5b80,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
bf89d739,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
516b51b7,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
c87289bb,easy,False,True,False,False,True,False,False,True,False,False,True,False,False
94414823,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
dc2e9a9d,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
e57337a4,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
4aab4007,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
4b6b68e5,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
8a371977,easy,False,False,False,True,False,False,False,False,False,False,False,False,False
1c0d0a4b,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
759f3fd3,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
8dae5dfc,easy,False,False,False,False,False,False,False,True,False,False,False,False,True
a934301b,easy,False,False,False,False,True,True,False,True,False,False,True,True,True
4e469f39,easy,True,False,False,False,False,False,False,False,True,True,False,False,True
6df30ad6,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
f5aa3634,easy,False,False,False,True,True,True,True,True,True,True,True,True,True
fc754716,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
92e50de0,easy,False,False,True,False,False,False,False,True,True,True,True,True,False
31adaf00,easy,False,True,True,True,False,False,False,False,False,False,False,False,False
7d18a6fb,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
551d5bf1,easy,False,True,True,True,True,False,True,True,True,True,True,True,True
73182012,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
5ffb2104,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
62ab2642,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
42a15761,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
68b67ca3,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
903d1b4a,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
642d658d,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
00576224,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
9b4c17c4,easy,False,False,False,True,False,False,False,False,False,False,False,False,False
21f83797,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
0b17323b,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
6ea4a07e,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
a04b2602,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
59341089,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
e7a25a18,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
e88171ec,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
e9c9d9a1,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
09c534e7,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
88207623,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
a406ac07,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
c8b7cc0f,easy,False,False,True,True,True,False,True,True,True,True,True,True,True
ac0c5833,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
d931c21c,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
7c9b52a0,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
95a58926,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
a680ac02,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
cad67732,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
ef26cbf6,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
f823c43c,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
72a961c9,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
e760a62e,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
b7cb93ac,easy,True,False,False,True,True,True,True,True,True,True,True,False,True
3ee1011a,easy,False,False,True,False,True,False,False,True,True,False,True,True,False
50aad11f,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
1d398264,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
c64f1187,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
fb791726,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
8fbca751,easy,False,False,False,False,False,False,False,False,False,False,True,False,False
b7999b51,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
3490cc26,easy,False,False,False,True,True,True,True,True,True,True,True,True,True
7ee1c6ea,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
2b01abd0,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
aa4ec2a5,easy,False,True,False,True,True,True,False,True,False,True,False,True,True
b7fb29bc,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
f0df5ff0,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
414297c0,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
58743b76,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
6f473927,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
c074846d,easy,False,False,True,True,True,True,False,True,True,True,True,True,True
2072aba6,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
319f2597,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
84f2aca1,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
cf133acc,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
009d5c81,easy,True,False,False,False,False,False,False,False,False,False,False,False,False
2f0c5170,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
c6e1b8da,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
e4075551,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
917bccba,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
e66aafb8,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
f83cb3f6,easy,False,False,False,False,False,True,True,True,True,True,True,True,True
0becf7df,easy,False,False,False,False,True,True,True,False,True,True,False,True,False
62b74c02,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
642248e4,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
477d2879,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
137f0df0,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
93b4f4b3,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
f21745ec,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
29700607,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
b0f4d537,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
e9ac8c9e,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
1a2e2828,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
52fd389e,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
770cc55f,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
782b5218,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
712bf12e,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
d304284e,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
f0afb749,easy,True,True,False,False,False,False,True,True,True,True,True,True,True
3a301edc,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
e681b708,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
3391f8c0,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
e74e1818,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
070dd51e,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
50a16a69,easy,True,True,True,True,True,True,True,True,True,True,True,True,True
0607ce86,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
1c02dbbe,easy,False,False,True,True,True,False,False,False,False,False,False,False,False
9c1e755f,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
ac3e2b04,medium,False,False,True,True,True,True,True,True,True,True,True,True,True
0bb8deee,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
762cd429,medium,True,False,False,True,True,True,True,True,True,True,True,True,False
e7639916,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
42918530,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
ca8de6ea,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
e1d2900e,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
5289ad53,medium,False,True,True,True,False,False,False,False,False,False,True,True,True
8ee62060,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
aee291af,medium,False,True,True,True,True,True,True,True,True,True,False,False,False
2697da3f,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
351d6448,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
7bb29440,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
97239e3d,medium,False,False,False,True,False,True,False,True,True,True,False,True,True
bcb3040b,medium,False,False,False,True,False,True,True,False,False,False,True,False,True
f3e62deb,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
54db823b,medium,True,True,False,True,False,False,False,False,False,False,True,True,False
64a7c07e,medium,False,False,False,False,False,False,False,False,False,False,True,False,False
e95e3d8e,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
99306f82,medium,True,False,True,True,True,True,True,True,True,True,True,True,True
e0fb7511,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
ae58858e,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
992798f6,medium,False,False,True,True,True,True,True,True,True,True,True,True,True
9a4bb226,medium,False,False,True,True,True,True,True,True,True,True,True,True,True
15113be4,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
93c31fbe,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
9f27f097,medium,False,True,True,True,False,True,True,True,True,False,True,True,True
e9b4f6fc,medium,False,False,True,True,True,True,True,True,True,True,True,True,True
20818e16,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
be03b35f,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
03560426,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
bbb1b8b6,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
27a77e38,medium,True,False,False,False,True,False,False,False,False,False,True,True,False
9bebae7a,medium,False,False,True,False,False,True,True,False,False,False,False,False,False
281123b4,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
3f23242b,medium,False,False,False,True,True,False,True,False,False,True,False,False,True
626c0bcc,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
896d5239,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
9ddd00f0,medium,False,False,True,True,False,True,True,True,True,True,True,True,True
e69241bd,medium,False,False,False,True,False,True,False,True,True,False,False,False,False
fd096ab6,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
fe9372f3,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
69889d6e,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
df8cc377,medium,False,False,False,True,True,False,False,False,False,False,False,False,False
e619ca6e,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
184a9768,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
de493100,medium,True,False,False,False,False,False,False,False,False,False,False,False,False
0a2355a6,medium,False,False,True,False,False,False,True,False,True,False,True,False,True
15663ba9,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
256b0a75,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
7039b2d7,medium,False,False,False,True,False,False,False,True,False,False,False,True,False
7c8af763,medium,True,True,True,False,True,True,False,False,False,False,True,True,False
f4081712,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
4e45f183,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
aa18de87,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
b457fec5,medium,False,False,True,False,False,False,True,False,True,True,True,True,True
b9630600,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
e21a174a,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
e633a9e5,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
0c786b71,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
0d87d2a6,medium,False,False,True,False,True,True,True,True,False,True,True,True,True
d2acf2cb,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
0e671a1a,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
140c817e,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
baf41dbf,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
2c0b0aff,medium,True,True,True,True,True,False,True,True,True,True,True,True,False
20981f0e,medium,False,False,True,True,True,True,True,True,True,True,True,True,True
12997ef3,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
ed74f2f2,medium,False,False,False,True,True,True,False,False,False,True,False,False,False
1d0a4b61,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
981571dc,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
b1fc8b8e,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
bd14c3bf,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
6ad5bdfd,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
17b80ad2,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
12422b43,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
6a11f6da,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
11e1fe23,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
a59b95c0,medium,True,False,True,True,True,True,True,True,True,True,True,True,True
456873bc,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
15696249,medium,False,False,True,True,True,True,True,True,True,True,True,True,True
25094a63,medium,False,False,False,True,False,True,True,True,True,True,True,True,True
9c56f360,medium,False,False,True,True,True,True,False,False,True,True,True,True,True
a3f84088,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
c658a4bd,medium,True,False,True,True,True,True,True,True,True,True,True,True,True
e133d23d,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
ecaa0ec1,medium,False,False,False,False,True,False,True,True,True,False,True,True,True
e872b94a,medium,True,True,False,False,False,True,True,False,True,True,True,True,False
73ccf9c2,medium,False,False,False,False,False,False,True,False,False,False,False,False,False
4acc7107,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
639f5a19,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
1a6449f1,medium,True,True,True,False,False,True,True,False,True,True,False,True,False
16b78196,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
2c737e39,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
60a26a3e,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
9b365c51,medium,False,False,True,True,True,False,False,False,False,False,False,False,False
ac2e8ecf,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
e5790162,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
9772c176,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
d282b262,medium,False,False,False,False,False,False,True,False,False,True,False,False,False
d47aa2ff,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
d56f2372,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
2685904e,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
9356391f,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
d492a647,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
e345f17b,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
60c09cac,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
695367ec,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
5207a7b5,medium,False,True,False,False,False,False,False,False,False,False,False,False,False
c62e2108,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
e9bb6954,medium,False,True,True,True,True,True,True,True,True,True,True,True,True
22a4bbc2,medium,False,False,True,False,True,False,False,False,False,True,True,True,False
b20f7c8b,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
c97c0139,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
8ba14f53,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
5b6cbef5,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
a096bf4d,medium,False,False,True,True,False,True,False,False,False,False,False,True,True
ff72ca3e,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
9b2a60aa,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
e41c6fd3,medium,False,False,False,True,True,False,False,False,True,False,False,True,False
40f6cd08,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
505fff84,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
96a8c0cd,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
bb52a14b,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
d94c3b52,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
f9d67f8b,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
5af49b42,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
72207abc,medium,False,False,False,True,False,False,False,False,False,False,False,True,False
4c177718,medium,False,False,True,True,False,False,False,False,False,False,False,False,False
67b4a34d,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
7e02026e,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
48131b3c,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
af22c60d,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
ce8d95cc,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
d017b73f,medium,False,False,False,False,False,True,False,True,False,False,False,False,False
0f63c0b9,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
103eff5b,medium,True,False,True,False,True,False,True,False,False,True,False,True,True
13713586,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
17cae0c1,medium,False,True,False,False,True,True,True,False,False,True,True,True,True
18419cfa,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
212895b5,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
32e9702f,medium,True,True,True,True,True,True,True,True,True,True,True,True,True
cb227835,medium,True,False,True,False,False,False,False,False,False,False,False,False,False
d4b1c2b1,medium,True,False,False,False,False,False,False,False,False,False,False,False,False
f8be4b64,medium,False,False,False,True,False,False,False,False,False,False,False,False,False
4852f2fa,medium,False,False,True,True,True,True,True,True,True,True,True,True,True
dd2401ed,medium,False,True,True,True,True,True,True,True,True,False,False,True,True
9caba7c3,medium,False,False,False,False,False,False,False,False,False,False,False,False,False
e5c44e8f,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
604001fa,hard,False,False,False,False,False,False,False,True,False,False,True,True,False
1e81d6f9,hard,False,False,False,True,True,True,True,True,True,True,True,True,True
e78887d1,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
4364c1c4,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
14754a24,hard,False,False,False,True,False,True,True,True,True,True,True,True,False
c1990cce,hard,True,False,False,False,False,False,False,False,False,False,False,False,False
85fa5666,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
a57f2f04,hard,False,False,True,True,True,True,True,True,True,True,True,True,True
9def23fe,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
c35c1b4c,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
506d28a5,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
79369cc6,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
c48954c1,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
cfb2ce5a,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
2037f2c7,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
85b81ff1,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
55783887,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
696d4842,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
da515329,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
d5c634a2,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
bc4146bd,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
ac605cbb,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
27f8ce4f,hard,False,False,True,True,True,True,True,True,True,True,True,True,True
2a5f8217,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
bf32578f,hard,False,True,False,True,False,True,True,True,True,True,True,True,True
817e6c09,hard,False,False,True,True,True,True,True,True,True,True,True,True,True
ccd554ac,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
fd4b2b02,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
195ba7dc,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
73c3b0d8,hard,False,False,False,False,False,False,False,False,False,False,False,True,False
f3b10344,hard,False,False,False,True,True,True,True,True,True,True,True,True,True
48f8583b,hard,False,False,True,False,False,True,True,True,True,True,True,True,True
c663677b,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
e7b06bea,hard,True,False,True,True,True,True,True,True,True,True,True,True,True
12eac192,hard,False,False,True,True,True,True,True,True,True,True,True,True,True
423a55dc,hard,False,False,False,False,False,True,False,True,False,False,False,True,True
aab50785,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
66f2d22f,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
0692e18c,hard,False,False,True,False,False,True,False,True,True,True,False,False,True
c92b942c,hard,False,False,False,False,False,False,False,True,False,False,True,True,True
3ed85e70,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
84db8fc4,hard,False,False,True,True,True,True,True,True,True,True,True,True,True
8b28cd80,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
ce039d91,hard,False,False,True,True,True,True,True,True,True,True,True,True,True
d19f7514,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
dc2aa30b,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
b7f8a4d8,hard,False,False,True,True,True,True,True,True,True,True,True,True,True
ed98d772,hard,False,True,True,True,True,True,True,True,True,True,True,True,True
f5c89df1,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
b0722778,hard,False,False,True,False,False,False,False,False,False,False,False,False,False
37d3e8b2,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
50f325b5,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
08573cc6,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
310f3251,hard,False,True,True,True,True,True,True,False,True,True,True,True,True
7d419a02,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
3d31c5b3,hard,False,True,True,True,True,True,True,True,True,True,True,True,True
7953d61e,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
8e2edd66,hard,False,False,True,True,True,True,False,True,True,True,True,True,True
b942fd60,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
929ab4e9,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
94133066,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
136b0064,hard,False,False,False,False,False,False,False,False,False,False,False,False,False
90347967,hard,False,False,False,False,False,False,True,False,False,False,False,False,False
5d2a5c43,hard,True,True,True,True,True,True,True,True,True,True,True,True,True
e99362f0,expert,False,True,True,True,True,True,True,True,True,True,True,True,True
1acc24af,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
f9a67cb5,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
ad7e01d0,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
ea9794b1,expert,False,True,True,True,True,True,True,True,True,True,True,True,True
58e15b12,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
891232d6,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
5833af48,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
4ff4c9da,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
5b692c0f,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
e2092e0c,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
0934a4d8,expert,False,False,False,False,False,False,False,False,False,False,False,False,False
